"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Sierra Leone",NA,106,4.70900011062622,NA,4.85064333498478,4.56735688626766,0.36842092871666,0.984136044979095,0.318697690963745,0.00556475389748812,NA,2017
"Cameroon",NA,107,4.69500017166138,NA,4.79654085725546,4.5934594860673,0.564305365085602,0.946018218994141,0.430388748645782,0.132892116904259,NA,2017
"Iran",NA,108,4.69199991226196,NA,4.79822470769286,4.58577511683106,1.15687310695648,0.711551249027252,0.249322608113289,0.639333188533783,NA,2017
"Albania",NA,109,4.64400005340576,NA,4.75246400639415,4.53553610041738,0.996192753314972,0.803685247898102,0.381498634815216,0.731159746646881,NA,2017
"Bangladesh",NA,110,4.60799980163574,NA,4.68982165828347,4.52617794498801,0.586682975292206,0.735131740570068,0.478356659412384,0.533241033554077,NA,2017
"Namibia",NA,111,4.57399988174438,NA,4.77035474091768,4.37764502257109,0.964434325695038,1.0984708070755,0.520303547382355,0.33861181139946,NA,2017
"Kenya",NA,112,4.55299997329712,NA,4.65569159060717,4.45030835598707,0.560479462146759,1.06795072555542,0.452763766050339,0.309988349676132,NA,2017
"Mozambique",NA,113,4.55000019073486,NA,4.77410232633352,4.3258980551362,0.234305649995804,0.870701014995575,0.480791091918945,0.106654435396194,NA,2017
"Myanmar",NA,114,4.54500007629395,NA,4.61473994642496,4.47526020616293,0.367110550403595,1.12323594093323,0.514492034912109,0.397522568702698,NA,2017
"Senegal",NA,115,4.53499984741211,NA,4.6016037812829,4.46839591354132,0.479309022426605,1.17969191074371,0.377922266721725,0.409362852573395,NA,2017
"Zambia",NA,116,4.51399993896484,NA,4.64410550147295,4.38389437645674,0.636406779289246,1.00318729877472,0.461603492498398,0.257835894823074,NA,2017
"Iraq",NA,117,4.49700021743774,NA,4.62259140968323,4.37140902519226,1.10271048545837,0.978613197803497,0.288555532693863,0.501180469989777,NA,2017
"Gabon",NA,118,4.46500015258789,NA,4.5573617656529,4.37263853952289,1.1982102394104,1.1556202173233,0.312328577041626,0.356578588485718,NA,2017
"Ethiopia",NA,119,4.46000003814697,NA,4.54272867664695,4.377271399647,0.339233845472336,0.86466920375824,0.408842742443085,0.353409707546234,NA,2017
"Sri Lanka",NA,120,4.44000005722046,NA,4.55344719231129,4.32655292212963,1.00985014438629,1.25997638702393,0.561213254928589,0.625130832195282,NA,2017
"Armenia",NA,121,4.37599992752075,NA,4.46673461228609,4.28526524275541,0.900596737861633,1.00748372077942,0.198303267359734,0.637524425983429,NA,2017
"India",NA,122,4.31500005722046,NA,4.37152201749384,4.25847809694707,0.792221248149872,0.754372596740723,0.469987004995346,0.455427616834641,NA,2017
"Mauritania",NA,123,4.29199981689453,NA,4.37716361626983,4.20683601751924,0.648457288742065,1.2720308303833,0.0960980430245399,0.285349279642105,NA,2017
"Congo (Brazzaville)",NA,124,4.29099988937378,NA,4.41005350500345,4.17194627374411,0.808964252471924,0.832044363021851,0.435025870800018,0.28995743393898,NA,2017
"Georgia",NA,125,4.28599977493286,NA,4.37493396580219,4.19706558406353,0.950612664222717,0.57061493396759,0.309410035610199,0.649546980857849,NA,2017
"Congo (Kinshasa)",NA,126,4.28000020980835,NA,4.35781083270907,4.20218958690763,0.0921023488044739,1.22902345657349,0.235961347818375,0.191407024860382,NA,2017
"Mali",NA,127,4.19000005722046,NA,4.26967071101069,4.11032940343022,0.476180493831635,1.28147339820862,0.306613743305206,0.169365674257278,NA,2017
"Ivory Coast",NA,128,4.17999982833862,NA,4.27518256321549,4.08481709346175,0.603048920631409,0.904780030250549,0.447706192731857,0.0486421696841717,NA,2017
"Cambodia",NA,129,4.16800022125244,NA,4.27851781353354,4.05748262897134,0.601765096187592,1.00623834133148,0.633375823497772,0.429783403873444,NA,2017
"Sudan",NA,130,4.13899993896484,NA,4.34574716508389,3.9322527128458,0.65951669216156,1.21400856971741,0.0149958552792668,0.290920823812485,NA,2017
"Ghana",NA,131,4.11999988555908,NA,4.22270720854402,4.01729256257415,0.667224824428558,0.873664736747742,0.423026293516159,0.295637726783752,NA,2017
"Ukraine",NA,132,4.09600019454956,NA,4.18541010454297,4.00659028455615,0.89465194940567,1.39453756809235,0.122974775731564,0.575903952121735,NA,2017
"Uganda",NA,133,4.08099985122681,NA,4.19579996705055,3.96619973540306,0.381430715322495,1.12982773780823,0.443185955286026,0.217632606625557,NA,2017
"Burkina Faso",NA,134,4.03200006484985,NA,4.12405906438828,3.93994106531143,0.3502277135849,1.04328000545502,0.324367851018906,0.215844258666039,NA,2017
